mode,num_envs,num_motions,terminated_prob,time_step_total,bin_count,avg_resample_env_ids,iters,warmup,frames_per_motion,length_jitter,bin_size,alpha,use_bincount,adaptive_kernel_size,adaptive_lambda,adaptive_uniform_ratio,adaptive_alpha,total_ms,get_env_ids_ms,post_update_ms,resample_ms,dist_ms,adaptive_ms
cmd3,4096,800,0.05,2399811,47997,204.46,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.28227600269019604,0.09870612062513828,0.0,0.1084511331282556,0.07511874893680215,0.0
cmd1,4096,800,0.2,2399811,47997,819.57,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3562839759979397,0.10931403725408018,0.12348224641755223,0.1234876923263073,0.0,0.0
cmd2,4096,800,0.2,2399811,47997,819.445,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.4154899623245001,0.10109181515872478,0.025428833905607462,0.0,0.0,0.28896931326016784
cmd3,4096,800,0.2,2399811,47997,819.235,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2573543635662645,0.09758314932696521,0.0,0.0969490350689739,0.0628221791703254,0.0
cmd1,4096,800,0.6,2399811,47997,2455.59,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3672551386989653,0.09969657519832253,0.13980303891003132,0.12775552459061146,0.0,0.0
cmd2,4096,800,0.6,2399811,47997,2455.58,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.41763069690205157,0.09475654223933816,0.022050440311431885,0.0,0.0,0.3008237143512815
cmd3,4096,800,0.6,2399811,47997,2455.22,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.26226016343571246,0.09694643900729716,0.0,0.09353284724056721,0.07178087718784809,0.0
cmd1,4096,800,0.98,2399811,47997,4013.765,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.3800779639277607,0.09892703499644995,0.14933840022422373,0.13181252870708704,0.0,0.0
cmd2,4096,800,0.98,2399811,47997,4013.73,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.45106759178452194,0.10662341956049204,0.028176780324429274,0.0,0.0,0.3162673918996006
cmd3,4096,800,0.98,2399811,47997,4013.705,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.27913179714232683,0.10954849538393319,0.0,0.09338256902992725,0.07620073272846639,0.0
cmd1,4096,16000,0.05,48010422,960209,204.38,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.6997267121914774,0.11337381438352168,0.15120287192985415,0.4351500258781016,0.0,0.0
cmd2,4096,16000,0.05,48010422,960209,204.64,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7863999134860933,0.1258581958245486,0.0385385169647634,0.0,0.0,0.6220032006967813
cmd3,4096,16000,0.05,48010422,960209,204.52,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.2837868349160999,0.11582686798647046,0.0,0.10146503103896976,0.06649493589065969,0.0
cmd1,4096,16000,0.2,48010422,960209,819.61,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7081434421706945,0.1275764254387468,0.1473796705249697,0.43318734620697796,0.0,0.0
cmd2,4096,16000,0.2,48010422,960209,819.45,200,20,3000,0.05,50,0.001,False,1,0.8,0.1,0.001,0.7631867518648505,0.10639188345521688,0.03566535888239741,0.0,0.0,0.6211295095272362
